%# 1: iterations 
%# 2: time in yr 
%# 3: maximum height 
%# 4: maximum cover	
%# 5: volume / mass of sand 
%# 6: distance traveled by the dune in X 
%# 7: dune in flux 
%# 8: dune out flux 
%# 9: surge above MHWL 

0 0 0.00232096 0.00115741 229.072 1.14054 1.58825 
50 0.0317098 0.054191 0.0573516 229.068 1.17089 0.67114 
100 0.0634196 0.121911 0.110384 230.044 1.16659 0.0151492 
150 0.0951294 0.186619 0.160434 231.451 1.16156 0.00768198 
200 0.126839 0.25153 0.207667 232.865 1.16265 0.00188458 
250 0.158549 0.318612 0.252243 234.284 1.16522 0.00130758 
300 0.190259 0.384842 0.294312 235.704 1.16549 0.000909035 
350 0.221969 0.450269 0.334013 237.124 1.16365 0.000626677 
400 0.253678 0.514143 0.371481 238.538 1.15958 0.000423447 
450 0.285388 0.575571 0.406841 239.946 1.15328 0.000272454 
500 0.317098 0.634069 0.440212 241.348 1.15033 0.000160538 
550 0.348808 0.754348 0.471705 242.733 1.13119 0 
600 0.380518 0.847636 0.501427 244.095 1.10422 0 
650 0.412227 0.894207 0.529476 245.431 1.08182 0 
700 0.443937 0.973862 0.555948 246.725 1.04487 0 
750 0.475647 1.04985 0.58093 247.982 1.01665 0 
800 0.507357 1.11787 0.604506 249.21 0.992986 0 
850 0.539066 1.17957 0.626756 250.409 0.973796 0 
900 0.570776 1.23627 0.647755 251.583 0.951362 0 
950 0.602486 1.28888 0.667572 252.735 0.936632 0 
1000 0.634196 1.2834 0.686274 253.866 0.924629 0 
1050 0.665906 1.33814 0.703924 254.987 0.914458 0 
1100 0.697615 1.33262 0.720581 256.1 0.9095 0 
1150 0.729325 1.3244 0.736301 257.26 0.972777 0 
1200 0.761035 1.33576 0.751137 258.481 1.02327 0 
1250 0.792745 1.35823 0.765138 259.746 1.04332 0 
1300 0.824455 1.38642 0.778351 261.017 1.04111 0 
1350 0.856164 1.42753 0.790821 262.29 1.04306 0 
1400 0.887874 1.48877 0.802589 263.556 1.03258 0 
1450 0.919584 1.548 0.813695 264.81 1.02809 0 
1500 0.951294 1.6029 0.824177 266.039 1.01254 0 
1550 0.983004 1.66119 0.834068 267.256 1.00437 0 
1600 1.01471 1.71493 0.843403 268.458 0.991533 0 
1650 1.04642 1.76371 0.852213 269.645 0.979615 0 
1700 1.07813 1.80906 0.860528 270.819 0.970426 0 
1750 1.10984 1.84459 0.868374 271.981 0.973992 0 
1800 1.14155 1.86627 0.87578 273.154 0.94934 0 
1850 1.17326 1.91071 0.882768 274.301 0.933187 0 
1900 1.20497 1.91013 0.889364 275.446 0.926521 0 
1950 1.23668 1.97586 0.895588 276.567 0.917317 0 
2000 1.26839 1.99605 0.901462 277.67 0.918813 0 
2050 1.3001 1.99538 0.907006 278.794 0.912208 0 
2100 1.33181 2.01848 0.912238 279.904 0.899897 0 
2150 1.36352 2.0227 0.917175 281 0.904905 0 
2200 1.39523 2.04642 0.921835 282.092 0.891236 0 
2250 1.42694 2.07052 0.926232 283.17 0.889174 0 
2300 1.45865 2.09342 0.930382 284.245 0.879345 0 
2350 1.49036 2.11798 0.934299 285.311 0.86526 0 
2400 1.52207 2.1413 0.937995 286.368 0.877025 0 
2450 1.55378 2.12173 0.941484 287.42 0.869141 0 
2500 1.58549 2.15163 0.944776 288.466 0.85059 0 
2550 1.6172 2.1765 0.947883 289.503 0.841781 0 
2600 1.64891 2.20284 0.950815 290.529 0.829867 0 
2650 1.68062 2.23512 0.953582 291.553 0.837293 0 
2700 1.71233 2.26929 0.956193 292.566 0.822294 0 
2750 1.74404 2.24386 0.958658 293.572 0.827407 0 
2800 1.77575 2.32943 0.960984 294.57 0.810565 0 
2850 1.80746 2.30347 0.963179 295.561 0.811132 0 
2900 1.83917 2.33518 0.96525 296.54 0.791541 0 
2950 1.87088 2.36779 0.967205 297.518 0.794349 0 
3000 1.90259 2.3484 0.96905 298.484 0.797704 0 
3050 1.9343 2.43507 0.970791 299.443 0.774997 0 
3100 1.96601 2.42252 0.972435 300.397 0.772218 0 
3150 1.99772 2.46233 0.973986 301.343 0.771166 0 
3200 2.02943 2.45087 0.975449 302.281 0.771292 0 
3250 2.06114 2.49148 0.97683 303.212 0.769797 0 
3300 2.09285 2.48163 0.978134 304.134 0.743259 0 
3350 2.12456 2.52461 0.979364 305.051 0.737519 0 
3400 2.15627 2.56619 0.980525 305.962 0.734117 0 
